team,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,color
RedBull,330.8,505,520.2,285.1,282.6,310,335,445,145,140,135,135,#3671c6
Mercedes,270.3,397,518.8,351.1,358.2,400,425,484,145,140,135,135,#27f4d2
Ferrari,372.2,485,463.9,437.2,436.7,410,435,463,145,140,135,135,#e80020
Renault,191.5,200.4,154.4,199,194,190,210,272,145,140,135,135,#0093cc
McLaren,274.2,329,516.1,245.4,230.4,220,250,269,145,140,135,135,#ff8000
Aston Martin,120.9,119.4,143.9,119,121.5,120,155,188,145,140,135,135,#229971
Sauber,126.8,111,114.6,125.7,127.2,135,155,141,145,140,135,135,#52e252
Alphatauri,101.5,142.7,152.5,132.5,194,150,155,138,145,140,135,135,#6692ff
Williams,150,196.3,206.9,139.2,141.9,150,150,132,145,140,135,135,#64c4ff
Caterham,98.6,92.2,0,0,0,0,0,0,0,0,0,0,#0b5f26
Manor,79.7,79.5,92.1,112.9,0,0,0,0,0,0,0,0,#de571e
Haas,0,0,0,132.5,129.9,130,150,173,145,140,135,135,#b6babd
