mock,speed,year
a,289,1950
a,289,1951
a,289,1952
a,289,1953
a,289,1954
a,289,1955
a,289,1956
a,289,1957
a,289,1958
a,289,1959
a,321,1960
a,321,1961
a,321,1962
a,321,1963
a,321,1964
a,321,1965
a,321,1966
a,321,1967
a,321,1968
a,321,1969
a,321,1970
a,321,1971
a,321,1972
a,321,1973
a,321,1974
a,321,1975
a,321,1976
a,321,1977
a,321,1978
a,321,1979
a,333,1980
a,333,1981
a,333,1982
a,333,1983
a,333,1984
a,333,1985
a,333,1986
a,333,1987
a,333,1988
a,333,1989
a,321,1990
a,321,1991
a,321,1992
a,321,1993
a,321,1994
a,321,1995
a,321,1996
a,321,1997
a,321,1998
a,321,1999
a,321,2000
a,321,2001
a,321,2002
a,321,2003
a,321,2004
a,372,2005
a,397,2006
a,310,2007
a,310,2008
a,310,2009
a,362,2010
a,321,2011
a,321,2012
a,321,2013
a,321,2014
a,361,2015
a,373,2016
a,362,2017
a,366,2018
a,365,2019
a,363,2020
a,365,2021
a,351,2022
